Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
0000001dxx,DE,3,48,78.159.99.85,mail.dxx.co,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-10-12,LEASEWEB-DE-FRA-10- DE,28753,4730,None
0001,BG,1282,64,91.92.109.43,insight.firstnetwork.cf,443,80,0,1,1,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-08-15,NETERRA-AS- BG,34224,2340,None
0s1nt0,DE,25637,97,176.9.53.58,static.58.53.9.176.clients.your-server.de,8443,8080,0,0,1,1,0,1,1,1,1,Tor 0.4.0.2-alpha on Linux,0,0,2019-03-11,HETZNER-AS- DE,24940,82300,None
0x161,US,598,1079,172.245.26.19,172-245-26-19-host.colocrossing.com,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2019-07-27,AS-COLOCROSSING - ColoCrossing- US,36352,3000,None
0x1ea7deadbeef,DE,7209,437,188.68.45.180,tor-exit-node.1ea7deadbeef.de,9001,80,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2018-09-28,NETCUP-AS netcup GmbH- DE,197540,15000,[2a03:4000:21:47a:de1:ea7:dead:beef]:9090
0x3d003,LU,4324,660,83.99.5.45,ip-83-99-5-45.dyn.luxdsl.pt.lu,19001,19030,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2014-08-20,EPT-LU Entreprise des P. et T. Luxembourg- LU,6661,4510,None
0x3d008,FR,13978,789,188.165.220.34,neo.0x3d.lu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-11-24,OVH- FR,16276,27400,None
0x3d009,FR,10721,789,188.165.220.34,neo.0x3d.lu,8001,8030,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-11-24,OVH- FR,16276,29000,None
0x3d069,NL,423,497,37.48.120.47,sonix.dk,2195,None,0,0,1,0,0,1,1,1,0,Tor 0.4.1.6 on Linux,0,0,2015-01-20,LEASEWEB-NL-AMS-01 Netherlands- NL,60781,810,None
0x616e6f6e,MD,4192,2565,178.17.170.116,178-17-170-116.static.as43289.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-06-30,TRABIA- MD,43289,8330,[2a00:1dc0:caff:b2::26ac]:443
0x616e6f6e,SE,6259,419,185.86.149.223,185.86.149.223,443,80,0,1,1,0,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-04-06,MAKONIX- LV,52173,12400,[2a02:7aa0:1619::1a7f:7a26]:443
0x616e6f6e,MD,1782,1727,178.175.148.165,178-175-148-165.static.as43289.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-02-15,TRABIA- MD,43289,3940,[2a00:1dc0:caff:153::d2c7]:443
0x616e6f6e,LV,7695,9,94.140.116.166,94.140.116.166,443,80,0,1,1,0,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-08-13,NANO-AS- LV,43513,18200,[2a02:7aa0:1201::c0d0:5d82]:443
0x616e6f6e,MD,484,1656,178.17.171.78,178-17-171-78.static.as43289.net,443,80,0,1,1,0,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-08-04,TRABIA- MD,43289,900,[2a00:1dc0:caff:f6::28ad]:443
0x616e6f6e,MD,1569,4750,178.17.170.91,178-17-170-91.static.as43289.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-03-31,TRABIA- MD,43289,3740,[2a00:1dc0:caff:b5::c623]:443
0x616e6f6e,LV,4972,9,94.140.116.189,94.140.116.189,443,80,0,1,1,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-04-12,NANO-AS- LV,43513,14000,[2a02:7aa0:1201::c408:5849]:443
0x616e6f6e,MD,4042,2565,178.17.170.88,178-17-170-88.static.as43289.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-06-30,TRABIA- MD,43289,8800,[2a00:1dc0:caff:ef::96b8]:443
